"","Country","Happiness_score","GDP_per_capita","Social_support","Healthy_life_expectancy","Freedom_to_make_life_choices","Generosity","Perceptions_of_corruption","continent","year"
"121","Egypt","4.419","0.885","1.025","0.5529999999999999","0.312","0.092","0.107","Africa","2018"
"136","Egypt","4.166","0.9129999999999999","1.0390000000000001","0.644","0.24100000000000002","0.076","0.067","Africa","2019"
"45","El Salvador","6.068","0.87369591","0.8097509740000001","0.59600395","0.372685879","0.08877384699999999","0.10612560800000001","Americas","2016"
"44","El Salvador","6.002999999999999","0.91","1.182","0.596","0.43200000000000005","0.078","0.09","Americas","2017"
"39","El Salvador","6.167000000000001","0.8059999999999999","1.2309999999999999","0.639","0.461","0.065","0.08199999999999999","Americas","2018"
"34","El Salvador","6.252999999999999","0.794","1.242","0.789","0.43","0.09300000000000001","0.07400000000000001","Americas","2019"
"71","Estonia","5.517","1.279636979","1.0516268009999998","0.6809805040000001","0.41511440299999997","0.08422526699999999","0.18519040899999997","Europe","2016"
"65","Estonia","5.611000000000001","1.321","1.4769999999999999","0.695","0.479","0.099","0.183","Europe","2017"
"62","Estonia","5.739","1.2","1.5319999999999998","0.737","0.5529999999999999","0.086","0.174","Europe","2018"
"54","Estonia","5.893","1.237","1.528","0.8740000000000001","0.495","0.10300000000000001","0.161","Europe","2019"
"114","Ethiopia","4.508","0.292833269","0.37931633","0.34577632","0.36702913","0.295218557","0.171699375","Africa","2016"
"118","Ethiopia","4.46","0.33899999999999997","0.865","0.353","0.409","0.313","0.165","Africa","2017"
"126","Ethiopia","4.35","0.308","0.95","0.391","0.452","0.22","0.146","Africa","2018"
"133","Ethiopia","4.2860000000000005","0.336","1.033","0.532","0.344","0.209","0.1","Africa","2019"
"4","Finland","7.412999999999999","1.40597868","1.134640336","0.81091392","0.571036816","0.254919082","0.410039783","Europe","2016"
"4","Finland","7.468999999999999","1.444","1.54","0.809","0.618","0.245","0.38299999999999995","Europe","2017"
"0","Finland","7.632000000000001","1.305","1.5919999999999999","0.8740000000000001","0.6809999999999999","0.192","0.39299999999999996","Europe","2018"
"0","Finland","7.769","1.34","1.587","0.986","0.596","0.153","0.39299999999999996","Europe","2019"
"31","France","6.478","1.3948835130000001","1.0050801040000001","0.837949932","0.465618432","0.121603429","0.178082541","Europe","2016"
"30","France","6.442","1.431","1.3880000000000001","0.8440000000000001","0.47","0.13","0.17300000000000001","Europe","2017"
"22","France","6.489","1.2930000000000001","1.466","0.9079999999999999","0.52","0.098","0.17600000000000002","Europe","2018"
"23","France","6.5920000000000005","1.324","1.472","1.045","0.436","0.111","0.183","Europe","2019"
"133","Gabon","4.121","1.158508897","0.7236786479999999","0.34940424600000003","0.28097546100000004","0.062437054000000006","0.09314181699999999","Africa","2016"
"117","Gabon","4.465","1.198","1.156","0.35700000000000004","0.312","0.044000000000000004","0.076","Africa","2017"
"102","Gabon","4.758","1.036","1.1640000000000001","0.40399999999999997","0.35600000000000004","0.032","0.052000000000000005","Africa","2018"
"103","Gabon","4.7989999999999995","1.057","1.183","0.5710000000000001","0.295","0.043","0.055","Africa","2019"
"125","Georgia","4.252","0.8379245999999999","0.192494437","0.64034605","0.324610114","0.067858882","0.31879583","Asia","2016"
"124","Georgia","4.2860000000000005","0.951","0.5710000000000001","0.65","0.309","0.054000000000000006","0.252","Asia","2017"
"127","Georgia","4.34","0.853","0.5920000000000001","0.643","0.375","0.038","0.215","Asia","2018"
"118","Georgia","4.519","0.8859999999999999","0.6659999999999999","0.752","0.34600000000000003","0.043","0.16399999999999998","Asia","2019"
"15","Germany","6.994","1.447866678","1.097738504","0.814869463","0.534662247","0.304522663","0.285507739","Europe","2016"
"15","Germany","6.9510000000000005","1.4880000000000002","1.473","0.799","0.563","0.336","0.27699999999999997","Europe","2017"
"14","Germany","6.965","1.34","1.474","0.861","0.586","0.273","0.28","Europe","2018"
"16","Germany","6.985","1.3730000000000002","1.454","0.987","0.495","0.261","0.265","Europe","2019"
"123","Ghana","4.276","0.631068647","0.49352505799999996","0.296813399","0.40973222299999995","0.21203264600000002","0.032602906","Africa","2016"
"130","Ghana","4.12","0.667","0.8740000000000001","0.29600000000000004","0.423","0.257","0.025","Africa","2017"
"107","Ghana","4.657","0.5920000000000001","0.8959999999999999","0.337","0.499","0.212","0.028999999999999998","Africa","2018"
"97","Ghana","4.996","0.611","0.868","0.486","0.381","0.245","0.04","Africa","2019"
"98","Greece","5.033","1.248862028","0.754731655","0.8002893329999999","0.058221195","0.0","0.041272469","Europe","2016"
"86","Greece","5.227","1.2890000000000001","1.239","0.81","0.096","0.0","0.043","Europe","2017"
"78","Greece","5.358","1.1540000000000001","1.202","0.879","0.131","0.0","0.044000000000000004","Europe","2018"
"81","Greece","5.287000000000001","1.181","1.156","0.9990000000000001","0.067","0.0","0.034","Europe","2019"
